country,year,bird_index,bird_flag,eu_unsmoothed,eu_smoothed,eu_lower_95,eu_upper_95,protected_terrestrial_pct,protected_area_flag,bird_minus_eu,bird_change_pct
AT,1998,100.0,,101.79,103.16,108.06,97.78,,,-3.1599999999999966,
AT,1999,102.3,,102.88,101.58,106.98,96.8,,,0.7199999999999989,2.299999999999991
AT,2000,98.5,d,99.27,100.0,104.86,94.89,,,-1.5,-3.7145650048875822
AT,2001,91.3,d,97.72,98.39,102.79,93.94,,,-7.090000000000003,-7.309644670050764
AT,2002,92.8,d,90.89,96.77,100.75,93.01,,,-3.969999999999999,1.6429353778751432
AT,2003,87.8,d,92.5,95.18,99.75,91.16,,,-7.38000000000001,-5.3879310344827624
AT,2004,90.4,d,95.22,93.61,97.78,89.36,,,-3.2099999999999937,2.9612756264236983
AT,2005,92.5,d,94.02,92.1,96.8,87.59,,,0.4000000000000057,2.3230088495575174
AT,2006,85.0,d,92.74,90.66,94.89,85.86,,,-5.659999999999997,-8.108108108108103
AT,2007,82.1,d,90.03,89.28,93.94,85.0,,,-7.180000000000007,-3.4117647058823586
AT,2008,79.1,d,90.85,87.95,92.08,83.32,,,-8.850000000000009,-3.654080389768577
AT,2009,73.1,d,84.44,86.64,91.16,82.49,,,-13.540000000000006,-7.585335018963335
AT,2010,70.3,d,83.86,85.35,90.26,80.86,,,-15.049999999999997,-3.830369357045138
AT,2011,67.7,d,84.78,84.06,88.47,80.05,27.5,,-16.36,-3.698435277382639
AT,2012,68.7,d,82.74,82.75,87.59,78.47,27.9,,-14.049999999999997,1.477104874446078
AT,2013,63.0,d,79.64,81.44,85.86,77.69,28.0,,-18.439999999999998,-8.296943231441055
AT,2014,59.8,d,80.93,80.16,84.16,76.15,28.0,,-20.36,-5.0793650793650835
AT,2015,62.9,d,81.61,78.88,83.32,74.64,28.1,,-15.979999999999997,5.183946488294322
AT,2016,58.4,d,82.51,77.62,81.67,73.9,28.1,,-19.220000000000006,-7.154213036565982
AT,2017,60.7,d,75.09,76.36,80.86,72.43,28.1,,-15.659999999999997,3.9383561643835607
AT,2018,55.2,d,70.92,75.12,80.05,71.0,28.2,,-19.92,-9.060955518945635
AT,2019,61.5,d,73.3,73.89,79.25,68.9,28.9,,-12.39,11.413043478260864
AT,2020,61.7,d,74.3,72.66,78.47,67.54,29.0,,-10.959999999999994,0.3252032520325354
AT,2021,60.5,d,73.17,71.45,77.69,65.54,29.3,,-10.950000000000003,-1.944894651539708
BE,1990,149.09,,113.9,115.35,121.84,109.14,,,33.74000000000001,
BE,1991,142.38,,112.14,113.99,120.62,106.98,,,28.39,-4.500637199007318
BE,1992,136.17,,117.47,112.61,119.42,105.92,,,23.559999999999988,-4.3615676359039295
BE,1993,130.38,,116.36,111.1,118.23,104.86,,,19.28,-4.252037893809202
BE,1994,124.98,,113.24,109.5,115.89,102.79,,,15.480000000000004,-4.14173953060285
BE,1995,119.95,,105.71,107.91,113.6,101.77,,,12.040000000000006,-4.024643943030881
BE,1996,115.32,,106.21,106.32,112.47,100.75,,,9.0,-3.8599416423509836
BE,1997,111.08,,105.4,104.74,110.24,99.75,,,6.340000000000003,-3.6767256330211495
BE,1998,107.13,,101.79,103.16,108.06,97.78,,,3.969999999999999,-3.5559956787900693
BE,1999,103.42,,102.88,101.58,106.98,96.8,,,1.8400000000000034,-3.463082236535042
BE,2000,100.0,,99.27,100.0,104.86,94.89,,,0.0,-3.3069038870624623
BE,2001,96.95,,97.72,98.39,102.79,93.94,,,-1.4399999999999977,-3.049999999999997
BE,2002,94.36,,90.89,96.77,100.75,93.01,,,-2.4099999999999966,-2.671480144404337
BE,2003,92.16,,92.5,95.18,99.75,91.16,,,-3.0200000000000102,-2.3314963967782987
BE,2004,90.19,,95.22,93.61,97.78,89.36,,,-3.4200000000000017,-2.137586805555558
BE,2005,88.26,,94.02,92.1,96.8,87.59,,,-3.839999999999989,-2.1399268211553357
BE,2006,86.82,,92.74,90.66,94.89,85.86,,,-3.8400000000000034,-1.6315431679129966
BE,2007,86.01,,90.03,89.28,93.94,85.0,,,-3.269999999999996,-0.9329647546648112
BE,2008,85.15,,90.85,87.95,92.08,83.32,,,-2.799999999999997,-0.9998837344494804
BE,2009,83.6,,84.44,86.64,91.16,82.49,,,-3.0400000000000063,-1.8203170874926733
BE,2010,81.2,,83.86,85.35,90.26,80.86,,,-4.1499999999999915,-2.8708133971291794
BE,2011,78.39,,84.78,84.06,88.47,80.05,14.2,,-5.670000000000002,-3.460591133004931
BE,2012,75.52,,82.74,82.75,87.59,78.47,14.3,,-7.230000000000004,-3.661181273121572
BE,2013,72.88,,79.64,81.44,85.86,77.69,14.3,,-8.560000000000002,-3.495762711864403
BE,2014,70.43,,80.93,80.16,84.16,76.15,14.3,,-9.72999999999999,-3.361690450054866
BE,2015,67.96,,81.61,78.88,83.32,74.64,14.3,,-10.920000000000002,-3.5070282550049847
BE,2016,65.53,,82.51,77.62,81.67,73.9,14.3,,-12.090000000000003,-3.575632725132416
BE,2017,63.18,,75.09,76.36,80.86,72.43,14.3,,-13.18,-3.586143750953763
BE,2018,60.93,,70.92,75.12,80.05,71.0,14.3,,-14.190000000000005,-3.5612535612535634
BE,2019,58.75,,73.3,73.89,79.25,68.9,14.6,,-15.14,-3.577876251436074
BE,2020,56.62,,74.3,72.66,78.47,67.54,14.6,,-16.04,-3.6255319148936205
CH,1990,118.92,,113.9,115.35,121.84,109.14,,,3.5700000000000074,
CH,1991,112.3,,112.14,113.99,120.62,106.98,,,-1.6899999999999977,-5.566767574840236
CH,1992,113.12,,117.47,112.61,119.42,105.92,,,0.5100000000000051,0.7301869991095389
CH,1993,114.63,,116.36,111.1,118.23,104.86,,,3.530000000000001,1.3348656294200678
CH,1994,114.98,,113.24,109.5,115.89,102.79,,,5.480000000000004,0.3053301927942176
