country,year,bird_index,bird_flag,eu_unsmoothed,eu_smoothed,eu_lower_95,eu_upper_95,protected_terrestrial_pct,protected_area_flag,bird_minus_eu,bird_change_pct
AT,2011,67.7,d,84.78,84.06,88.47,80.05,27.5,,-16.36,-3.698435277382639
AT,2012,68.7,d,82.74,82.75,87.59,78.47,27.9,,-14.049999999999997,1.477104874446078
AT,2013,63.0,d,79.64,81.44,85.86,77.69,28.0,,-18.439999999999998,-8.296943231441055
AT,2014,59.8,d,80.93,80.16,84.16,76.15,28.0,,-20.36,-5.0793650793650835
AT,2015,62.9,d,81.61,78.88,83.32,74.64,28.1,,-15.979999999999997,5.183946488294322
AT,2016,58.4,d,82.51,77.62,81.67,73.9,28.1,,-19.220000000000006,-7.154213036565982
AT,2017,60.7,d,75.09,76.36,80.86,72.43,28.1,,-15.659999999999997,3.9383561643835607
AT,2018,55.2,d,70.92,75.12,80.05,71.0,28.2,,-19.92,-9.060955518945635
AT,2019,61.5,d,73.3,73.89,79.25,68.9,28.9,,-12.39,11.413043478260864
AT,2020,61.7,d,74.3,72.66,78.47,67.54,29.0,,-10.959999999999994,0.3252032520325354
AT,2021,60.5,d,73.17,71.45,77.69,65.54,29.3,,-10.950000000000003,-1.944894651539708
BE,2011,78.39,,84.78,84.06,88.47,80.05,14.2,,-5.670000000000002,-3.460591133004931
BE,2012,75.52,,82.74,82.75,87.59,78.47,14.3,,-7.230000000000004,-3.661181273121572
BE,2013,72.88,,79.64,81.44,85.86,77.69,14.3,,-8.560000000000002,-3.495762711864403
BE,2014,70.43,,80.93,80.16,84.16,76.15,14.3,,-9.72999999999999,-3.361690450054866
BE,2015,67.96,,81.61,78.88,83.32,74.64,14.3,,-10.920000000000002,-3.5070282550049847
BE,2016,65.53,,82.51,77.62,81.67,73.9,14.3,,-12.090000000000003,-3.575632725132416
BE,2017,63.18,,75.09,76.36,80.86,72.43,14.3,,-13.18,-3.586143750953763
BE,2018,60.93,,70.92,75.12,80.05,71.0,14.3,,-14.190000000000005,-3.5612535612535634
BE,2019,58.75,,73.3,73.89,79.25,68.9,14.6,,-15.14,-3.577876251436074
BE,2020,56.62,,74.3,72.66,78.47,67.54,14.6,,-16.04,-3.6255319148936205
CY,2011,85.0,d,84.78,84.06,88.47,80.05,17.4,,0.9399999999999977,4.938271604938271
CY,2012,91.0,d,82.74,82.75,87.59,78.47,17.4,,8.25,7.058823529411762
CY,2013,123.0,d,79.64,81.44,85.86,77.69,17.7,,41.56,35.164835164835175
CY,2014,98.0,d,80.93,80.16,84.16,76.15,34.2,,17.840000000000003,-20.32520325203252
CY,2015,117.0,d,81.61,78.88,83.32,74.64,35.1,,38.120000000000005,19.387755102040828
CY,2016,132.0,d,82.51,77.62,81.67,73.9,37.0,,54.379999999999995,12.82051282051282
CY,2017,110.0,d,75.09,76.36,80.86,72.43,37.0,,33.64,-16.666666666666664
CY,2018,117.0,d,70.92,75.12,80.05,71.0,37.0,,41.879999999999995,6.363636363636371
CY,2019,123.0,d,73.3,73.89,79.25,68.9,37.6,,49.11,5.128205128205132
CY,2020,120.0,d,74.3,72.66,78.47,67.54,37.6,,47.34,-2.4390243902439046
CY,2021,110.0,d,73.17,71.45,77.69,65.54,37.6,,38.55,-8.333333333333337
CY,2022,81.0,d,67.73,70.25,77.69,63.6,37.8,,10.75,-26.363636363636367
CZ,2011,81.59,,84.78,84.06,88.47,80.05,21.4,,-2.469999999999999,-2.1585321981052896
CZ,2012,79.79,,82.74,82.75,87.59,78.47,21.4,,-2.9599999999999937,-2.2061527147934745
CZ,2013,78.0,,79.64,81.44,85.86,77.69,21.4,,-3.4399999999999977,-2.243388895851617
CZ,2014,76.2,,80.93,80.16,84.16,76.15,21.4,,-3.9599999999999937,-2.3076923076922995
CZ,2015,74.37,,81.61,78.88,83.32,74.64,21.8,,-4.509999999999991,-2.4015748031496087
CZ,2016,72.54,,82.51,77.62,81.67,73.9,21.9,,-5.079999999999998,-2.4606696248487214
CZ,2017,70.72,,75.09,76.36,80.86,72.43,21.9,,-5.640000000000001,-2.508960573476715
CZ,2018,68.93,,70.92,75.12,80.05,71.0,21.9,,-6.189999999999998,-2.531108597285059
CZ,2019,67.16,,73.3,73.89,79.25,68.9,21.9,,-6.730000000000004,-2.5678224285507145
CZ,2020,65.41,,74.3,72.66,78.47,67.54,21.9,,-7.25,-2.6057176891006506
CZ,2021,63.67,,73.17,71.45,77.69,65.54,21.9,,-7.780000000000001,-2.6601437089129987
CZ,2022,61.94,,67.73,70.25,77.69,63.6,21.9,,-8.310000000000002,-2.717135228522072
CZ,2023,60.23,,67.43,69.06,76.91,61.72,21.9,,-8.830000000000005,-2.7607361963190247
DE,2011,60.25,,84.78,84.06,88.47,80.05,37.1,,-23.810000000000002,-7.336204244847733
DE,2012,61.77,,82.74,82.75,87.59,78.47,37.3,,-20.979999999999997,2.52282157676349
DE,2013,57.74,,79.64,81.44,85.86,77.69,37.3,,-23.699999999999996,-6.524202687388703
DE,2014,57.43,,80.93,80.16,84.16,76.15,37.4,,-22.729999999999997,-0.5368895046761413
DE,2015,60.84,d,81.61,78.88,83.32,74.64,37.4,,-18.039999999999992,5.937663242207902
DE,2016,61.09,d,82.51,77.62,81.67,73.9,37.6,,-16.53,0.41091387245233424
DE,2017,54.84,d,75.09,76.36,80.86,72.43,37.6,,-21.519999999999996,-10.230807006056642
DE,2018,53.46,d,70.92,75.12,80.05,71.0,37.8,,-21.660000000000004,-2.516411378555805
DE,2019,54.72,d,73.3,73.89,79.25,68.9,37.8,,-19.17,2.3569023569023573
