country,year,bird_index,bird_flag
AT,1998,100.0,
AT,1999,102.3,
AT,2000,98.5,d
AT,2001,91.3,d
AT,2002,92.8,d
AT,2003,87.8,d
AT,2004,90.4,d
AT,2005,92.5,d
AT,2006,85.0,d
AT,2007,82.1,d
AT,2008,79.1,d
AT,2009,73.1,d
AT,2010,70.3,d
AT,2011,67.7,d
AT,2012,68.7,d
AT,2013,63.0,d
AT,2014,59.8,d
AT,2015,62.9,d
AT,2016,58.4,d
AT,2017,60.7,d
AT,2018,55.2,d
AT,2019,61.5,d
AT,2020,61.7,d
AT,2021,60.5,d
BE,1990,149.09,
BE,1991,142.38,
BE,1992,136.17,
BE,1993,130.38,
BE,1994,124.98,
BE,1995,119.95,
BE,1996,115.32,
BE,1997,111.08,
BE,1998,107.13,
BE,1999,103.42,
BE,2000,100.0,
BE,2001,96.95,
BE,2002,94.36,
BE,2003,92.16,
BE,2004,90.19,
BE,2005,88.26,
BE,2006,86.82,
BE,2007,86.01,
BE,2008,85.15,
BE,2009,83.6,
BE,2010,81.2,
BE,2011,78.39,
BE,2012,75.52,
BE,2013,72.88,
BE,2014,70.43,
BE,2015,67.96,
BE,2016,65.53,
BE,2017,63.18,
BE,2018,60.93,
BE,2019,58.75,
BE,2020,56.62,
CH,1990,118.92,
CH,1991,112.3,
CH,1992,113.12,
CH,1993,114.63,
CH,1994,114.98,
CH,1995,112.34,
CH,1996,108.66,
CH,1997,100.62,
CH,1998,96.47,
CH,1999,96.47,
CH,2000,100.0,
CH,2001,92.58,
CH,2002,88.62,
CH,2003,89.96,
CH,2004,94.03,
CH,2005,96.78,
CH,2006,94.98,
CH,2007,96.05,
CH,2008,92.32,
CH,2009,87.66,
CH,2010,94.09,
CH,2011,97.04,
CH,2012,102.88,
CH,2013,94.97,
CH,2014,99.13,
CH,2015,100.0,
CH,2016,101.87,
CH,2017,101.0,
CH,2018,99.48,
CH,2019,105.65,
CH,2020,117.65,
CH,2021,119.19,
CH,2022,115.61,
CH,2023,116.39,
CY,2006,100.0,d
CY,2007,81.0,d
CY,2008,68.0,d
CY,2009,65.0,d
CY,2010,81.0,d
CY,2011,85.0,d
CY,2012,91.0,d
CY,2013,123.0,d
CY,2014,98.0,d
CY,2015,117.0,d
CY,2016,132.0,d
CY,2017,110.0,d
CY,2018,117.0,d
CY,2019,123.0,d
CY,2020,120.0,d
CY,2021,110.0,d
CY,2022,81.0,d
CZ,1990,112.68,
CZ,1991,121.44,
CZ,1992,129.46,
CZ,1993,135.42,
CZ,1994,138.75,
CZ,1995,138.06,
CZ,1996,130.19,
CZ,1997,117.86,
CZ,1998,106.83,
CZ,1999,100.71,
CZ,2000,100.0,
CZ,2001,98.19,
CZ,2002,96.46,
CZ,2003,94.83,
CZ,2004,93.25,
CZ,2005,91.67,
CZ,2006,90.11,
CZ,2007,88.52,
CZ,2008,86.87,
CZ,2009,85.16,
CZ,2010,83.39,
CZ,2011,81.59,
CZ,2012,79.79,
CZ,2013,78.0,
CZ,2014,76.2,
CZ,2015,74.37,
CZ,2016,72.54,
CZ,2017,70.72,
CZ,2018,68.93,
CZ,2019,67.16,
CZ,2020,65.41,
CZ,2021,63.67,
CZ,2022,61.94,
CZ,2023,60.23,
DE,1990,143.37,
DE,1991,136.48,
DE,1992,126.61,
DE,1993,134.59,
DE,1994,135.08,
DE,1995,116.73,
DE,1996,121.72,
DE,1997,107.02,
DE,1998,100.38,
DE,1999,108.29,
DE,2000,100.0,
DE,2001,95.43,
DE,2002,87.75,
DE,2003,81.63,
DE,2004,84.78,
DE,2005,83.14,
DE,2006,76.48,
DE,2007,76.96,
DE,2008,76.84,
DE,2009,72.3,
DE,2010,65.02,
DE,2011,60.25,
DE,2012,61.77,
DE,2013,57.74,
DE,2014,57.43,
DE,2015,60.84,d
DE,2016,61.09,d
DE,2017,54.84,d
DE,2018,53.46,d
DE,2019,54.72,d
DK,1990,129.45,
DK,1991,118.91,
DK,1992,110.4,
DK,1993,109.81,
DK,1994,111.84,
DK,1995,109.54,
DK,1996,109.09,
DK,1997,103.51,
DK,1998,101.78,
DK,1999,104.06,
DK,2000,100.0,
DK,2001,103.69,
DK,2002,92.91,
DK,2003,90.76,
DK,2004,94.52,
DK,2005,83.82,
DK,2006,86.76,
DK,2007,82.17,
DK,2008,80.52,
DK,2009,91.23,
DK,2010,82.89,
DK,2011,76.21,
DK,2012,74.46,
DK,2013,75.76,
DK,2014,82.01,
DK,2015,80.05,
DK,2016,78.49,
DK,2017,74.13,
DK,2018,69.77,
DK,2019,67.27,
DK,2020,76.1,
DK,2021,72.38,
DK,2022,61.85,
DK,2023,66.84,
EE,1990,122.15,
EE,1991,111.09,
EE,1992,113.72,
EE,1993,104.89,
EE,1994,94.64,
EE,1995,82.13,
EE,1996,93.46,
EE,1997,98.66,
EE,1998,94.43,
EE,1999,88.78,
EE,2000,100.0,
EE,2001,95.85,
EE,2002,107.23,
EE,2003,99.43,
EE,2004,101.67,
EE,2005,105.05,
EE,2006,106.77,
EE,2007,104.32,
EE,2008,100.96,
EE,2009,91.63,
EE,2010,85.23,
EE,2011,88.61,
EE,2012,89.92,
EE,2013,96.14,
EE,2014,97.84,
EE,2015,84.42,d
EE,2016,77.11,d
EE,2017,76.1,d
EE,2018,74.07,d
EE,2019,74.71,d
EE,2020,68.99,d
EL,2007,100.0,d
EL,2008,95.06,d
EL,2009,96.71,d
EL,2010,91.07,d
EL,2011,100.25,d
EL,2012,94.84,d
EL,2013,94.29,d
EL,2014,107.34,d
EL,2015,90.91,d
EL,2016,90.79,d
EL,2017,93.51,d
EL,2018,89.34,d
EL,2019,95.11,d
EL,2020,88.61,d
EL,2021,117.18,d
EL,2022,86.76,d
EL,2023,83.31,d
ES,1998,107.39,
ES,1999,107.41,
ES,2000,100.0,
ES,2001,95.62,
ES,2002,97.35,
ES,2003,97.54,
ES,2004,94.84,
ES,2005,95.02,
ES,2006,86.81,
ES,2007,88.89,
ES,2008,93.75,
ES,2009,88.37,
ES,2010,83.75,
ES,2011,89.86,
ES,2012,84.47,
ES,2013,79.74,
ES,2014,78.8,
ES,2015,77.53,
ES,2016,78.04,
ES,2017,74.55,
ES,2018,69.73,
ES,2019,72.39,
ES,2020,71.15,
ES,2021,70.77,
ES,2022,69.23,
ES,2023,72.64,
FI,1990,114.31,
FI,1991,118.7,
FI,1992,123.53,
FI,1993,104.57,
FI,1994,114.56,
FI,1995,116.21,
FI,1996,100.28,
FI,1997,104.21,
FI,1998,109.14,
FI,1999,100.28,
FI,2000,100.0,
FI,2001,103.93,
FI,2002,98.49,
FI,2003,97.55,
FI,2004,90.19,
FI,2005,97.56,
FI,2006,87.34,
FI,2007,100.98,
FI,2008,92.29,
FI,2009,88.52,
FI,2010,87.02,
FI,2011,97.82,
FI,2012,82.21,
FI,2013,91.55,
FI,2014,90.5,
FI,2015,93.63,d
FI,2016,90.4,d
FI,2017,80.56,d
FI,2018,75.48,d
FI,2019,73.61,d
FI,2020,83.69,d
FI,2021,87.08,d
FI,2022,75.58,d
FI,2023,85.86,d
FI,2024,84.49,d
FR,1990,93.3,
FR,1991,74.6,
FR,1992,83.4,
FR,1993,74.6,
FR,1994,77.8,
FR,1995,74.7,
FR,1996,74.2,
FR,1997,82.0,
FR,1998,79.5,
FR,1999,69.5,
FR,2000,100.0,
FR,2001,72.7,
FR,2002,65.38,
FR,2003,69.54,
FR,2004,70.25,
FR,2005,78.97,
FR,2006,71.36,
FR,2007,73.7,
FR,2008,71.64,
FR,2009,67.5,
FR,2010,61.79,
FR,2011,63.77,
FR,2012,63.62,
FR,2013,61.39,
FR,2014,57.9,
FR,2015,61.57,
