country,first_year,last_year,first_index,last_index,change_pct,slope_points_per_year,n_years,flagged_years
NO,2000.0,2019.0,100.0,44.88,-55.11999999999999,-2.8138195488722038,20.0,0.0
FR,2000.0,2019.0,100.0,47.44,-52.56000000000001,-1.6895187969924708,20.0,0.0
DE,2000.0,2019.0,100.0,54.72,-45.28,-2.325857142857167,20.0,5.0
BE,2000.0,2019.0,100.0,58.75,-41.25,-2.0960075187970215,20.0,0.0
LT,2000.0,2019.0,100.0,61.69,-38.31,-1.2200751879699192,20.0,0.0
NL,2000.0,2019.0,100.0,61.84,-38.16,-1.9782105263158125,20.0,0.0
AT,2000.0,2019.0,98.5,61.5,-37.56345177664975,-2.2821052631579253,20.0,20.0
CZ,2000.0,2019.0,100.0,67.16,-32.84,-1.7219473684210755,20.0,0.0
DK,2000.0,2019.0,100.0,67.27,-32.730000000000004,-1.4676691729323472,20.0,0.0
ES,2000.0,2019.0,100.0,72.39,-27.61,-1.4920977443609267,20.0,0.0
FI,2000.0,2019.0,100.0,73.61,-26.39,-1.0691353383458861,20.0,5.0
IT,2000.0,2019.0,100.0,73.8,-26.200000000000003,-1.3645112781955082,20.0,0.0
EE,2000.0,2019.0,100.0,74.71,-25.290000000000003,-1.5431428571428871,20.0,5.0
SI,2008.0,2019.0,100.0,76.6,-23.40000000000001,-1.8534965034964772,12.0,12.0
PL,2000.0,2019.0,100.0,78.94,-21.060000000000002,-0.7472781954887247,20.0,0.0
LU,2010.0,2019.0,100.0,79.24,-20.76,-3.4219393939394154,10.0,10.0
HU,2000.0,2019.0,100.0,80.24,-19.759999999999998,-1.09634586466166,20.0,0.0
SE,2000.0,2019.0,100.0,80.63,-19.370000000000008,-1.0085338345864654,20.0,5.0
SK,2005.0,2018.0,100.0,83.5,-16.500000000000004,-1.8270989010988323,14.0,14.0
LV,2000.0,2019.0,100.0,86.58,-13.419999999999998,-0.36211278195490415,20.0,5.0
PT,2004.0,2019.0,100.0,95.0,-5.000000000000004,-0.39558823529409926,16.0,16.0
EL,2007.0,2019.0,100.0,95.11,-4.890000000000006,-0.4272527472527269,13.0,13.0
CH,2000.0,2019.0,100.0,105.65,5.6499999999999995,0.5313308270676937,20.0,0.0
IE,2000.0,2016.0,100.0,107.37,7.37000000000001,0.5235049019607801,17.0,0.0
CY,2006.0,2019.0,100.0,123.0,23.0,3.9406593406591086,14.0,14.0
