country,year,protected_terrestrial_pct,protected_area_flag
AT,2011,27.5,
AT,2012,27.9,
AT,2013,28.0,
AT,2014,28.0,
AT,2015,28.1,
AT,2016,28.1,
AT,2017,28.1,
AT,2018,28.2,
AT,2019,28.9,
AT,2020,29.0,
AT,2021,29.3,
AT,2022,29.3,
AT,2023,29.3,
BE,2011,14.2,
BE,2012,14.3,
BE,2013,14.3,
BE,2014,14.3,
BE,2015,14.3,
BE,2016,14.3,
BE,2017,14.3,
BE,2018,14.3,
BE,2019,14.6,
BE,2020,14.6,
BE,2021,14.7,
BE,2022,14.7,
BE,2023,15.5,
BG,2011,40.4,
BG,2012,40.4,
BG,2013,40.4,
BG,2014,40.4,
BG,2015,40.4,
BG,2016,40.4,
BG,2017,40.4,
BG,2018,40.5,
BG,2019,40.9,
BG,2020,40.9,
BG,2021,40.9,
BG,2022,40.9,
BG,2023,44.2,
CY,2011,17.4,
CY,2012,17.4,
CY,2013,17.7,
CY,2014,34.2,
CY,2015,35.1,
CY,2016,37.0,
CY,2017,37.0,
CY,2018,37.0,
CY,2019,37.6,
CY,2020,37.6,
CY,2021,37.6,
CY,2022,37.8,
CY,2023,37.5,
CZ,2011,21.4,
CZ,2012,21.4,
CZ,2013,21.4,
CZ,2014,21.4,
CZ,2015,21.8,
CZ,2016,21.9,
CZ,2017,21.9,
CZ,2018,21.9,
CZ,2019,21.9,
CZ,2020,21.9,
CZ,2021,21.9,
CZ,2022,21.9,
CZ,2023,21.9,
DE,2011,37.1,
DE,2012,37.3,
DE,2013,37.3,
DE,2014,37.4,
DE,2015,37.4,
DE,2016,37.6,
DE,2017,37.6,
DE,2018,37.8,
DE,2019,37.8,
DE,2020,38.2,
DE,2021,38.3,
DE,2022,38.3,
DE,2023,39.1,
DK,2011,15.2,
DK,2012,15.2,
DK,2013,15.2,
DK,2014,15.2,
DK,2015,15.2,
DK,2016,15.2,
DK,2017,15.3,
DK,2018,15.3,
DK,2019,15.3,
DK,2020,15.3,
DK,2021,15.3,
DK,2022,15.3,
DK,2023,15.4,
EE,2011,19.6,
EE,2012,19.6,
EE,2013,19.7,
EE,2014,19.7,
EE,2015,19.8,
EE,2016,19.9,
EE,2017,20.0,
EE,2018,20.1,
EE,2019,20.7,
EE,2020,20.8,
EE,2021,20.9,
EE,2022,20.9,
EE,2023,21.3,
EL,2011,34.6,
EL,2012,34.6,
EL,2013,34.6,
EL,2014,34.6,
EL,2015,34.6,
EL,2016,34.6,
EL,2017,34.6,
EL,2018,34.6,
EL,2019,34.6,
EL,2020,34.6,
EL,2021,34.7,
EL,2022,34.7,
EL,2023,34.6,
ES,2011,28.0,
ES,2012,28.0,
ES,2013,28.0,
ES,2014,28.0,
ES,2015,28.1,
ES,2016,28.1,
ES,2017,28.1,
ES,2018,28.1,
ES,2019,28.1,
ES,2020,28.1,
ES,2021,28.1,
ES,2022,28.1,
ES,2023,28.1,
FI,2011,12.9,
FI,2012,13.0,
FI,2013,13.0,
FI,2014,13.0,
FI,2015,13.0,
FI,2016,13.0,
FI,2017,13.2,
FI,2018,13.2,
FI,2019,13.2,
FI,2020,13.2,
FI,2021,13.3,
FI,2022,13.3,
FI,2023,13.4,
FR,2011,23.0,
FR,2012,23.1,
FR,2013,23.1,
FR,2014,23.5,
FR,2015,23.9,
FR,2016,23.9,
FR,2017,24.1,
FR,2018,25.7,
FR,2019,26.8,
FR,2020,27.7,
FR,2021,28.0,
FR,2022,28.0,
FR,2023,28.3,
HR,2011,12.3,
HR,2012,12.3,
HR,2013,37.9,
HR,2014,37.9,
HR,2015,37.9,
HR,2016,37.9,
HR,2017,37.9,
HR,2018,37.9,
HR,2019,38.0,
HR,2020,38.0,
HR,2021,38.2,
HR,2022,38.2,
HR,2023,38.2,
HU,2011,22.2,
HU,2012,22.2,
HU,2013,22.2,
HU,2014,22.2,
HU,2015,22.2,
HU,2016,22.2,
HU,2017,22.2,
HU,2018,22.2,
HU,2019,22.2,
HU,2020,22.2,
HU,2021,22.2,
HU,2022,22.2,
HU,2023,22.2,
IE,2011,13.8,
IE,2012,13.8,
IE,2013,13.8,
IE,2014,13.8,
IE,2015,13.8,
IE,2016,13.8,
IE,2017,13.8,
IE,2018,13.8,
IE,2019,14.0,
IE,2020,14.0,
IE,2021,14.0,
IE,2022,14.0,
IE,2023,13.9,
IT,2011,21.3,
IT,2012,21.4,
IT,2013,21.4,
IT,2014,21.4,
IT,2015,21.4,
IT,2016,21.4,
IT,2017,21.4,
IT,2018,21.4,
IT,2019,21.4,
IT,2020,21.4,
IT,2021,21.4,
IT,2022,21.4,
IT,2023,21.4,
LT,2011,17.0,
LT,2012,17.0,
