country,year,bird_index,target_next_bird_index,organic_farming_pct,pesticide_kg_per_ha,protected_terrestrial_pct,nitrogen_fertilizer_kg_per_ha,target_next_change
AT,1998,100.0,102.3,,,,,2.299999999999997
AT,1999,102.3,98.5,,,,,-3.799999999999997
AT,2000,98.5,91.3,13.8,,,,-7.200000000000003
AT,2001,91.3,92.8,14.0,,,,1.5
AT,2002,92.8,87.8,14.5,,,,-5.0
AT,2003,87.8,90.4,15.4,,,,2.6000000000000085
AT,2004,90.4,92.5,16.0,,,,2.0999999999999943
AT,2005,92.5,85.0,16.7,,,,-7.5
AT,2006,85.0,82.1,16.7,,,,-2.9000000000000057
AT,2007,82.1,79.1,17.0,,,,-3.0
AT,2008,79.1,73.1,17.4,,,,-6.0
AT,2009,73.1,70.3,18.5,,,,-2.799999999999997
AT,2010,70.3,67.7,19.5,,,,-2.5999999999999943
AT,2011,67.7,68.7,19.6,,27.5,,1.0
AT,2012,68.7,63.0,18.62,,27.9,,-5.700000000000003
AT,2013,63.0,59.8,18.4,1.0820984894006511,28.0,38.647447632090106,-3.200000000000003
AT,2014,59.8,62.9,19.35,1.2419087977144203,28.0,44.75509542884072,3.1000000000000014
AT,2015,62.9,58.4,20.3,1.3886255697691516,28.1,45.61020438170857,-4.5
AT,2016,58.4,60.7,21.25,1.6220761446428371,28.1,49.10351342405433,2.3000000000000043
AT,2017,60.7,55.2,23.37,1.7415844492310473,28.1,42.131979695431475,-5.5
AT,2018,55.2,61.5,24.08,1.9893980044011697,28.2,37.71742079401923,6.299999999999997
AT,2019,61.5,61.7,25.33,1.868041866813462,28.9,38.764506715129215,0.20000000000000284
AT,2020,61.7,60.5,25.69,2.102802460180736,29.0,44.32292138906519,-1.2000000000000028
AT,2021,60.5,,,2.2250075888860286,29.3,36.24182993978843,
BE,1990,149.09,142.38,,,,,-6.710000000000008
BE,1991,142.38,136.17,,,,,-6.210000000000008
BE,1992,136.17,130.38,,,,,-5.789999999999992
BE,1993,130.38,124.98,,,,,-5.3999999999999915
BE,1994,124.98,119.95,,,,,-5.030000000000001
BE,1995,119.95,115.32,,,,,-4.63000000000001
BE,1996,115.32,111.08,,,,,-4.239999999999995
BE,1997,111.08,107.13,,,,,-3.950000000000003
BE,1998,107.13,103.42,,,,,-3.7099999999999937
BE,1999,103.42,100.0,,,,,-3.4200000000000017
BE,2000,100.0,96.95,1.5,,,,-3.049999999999997
BE,2001,96.95,94.36,1.6,,,,-2.5900000000000034
BE,2002,94.36,92.16,2.1,,,,-2.200000000000003
BE,2003,92.16,90.19,1.7,,,,-1.9699999999999989
BE,2004,90.19,88.26,1.7,,,,-1.9299999999999926
BE,2005,88.26,86.82,1.7,,,,-1.440000000000012
BE,2006,86.82,86.01,2.1,,,,-0.8099999999999881
BE,2007,86.01,85.15,2.4,,,,-0.8599999999999994
BE,2008,85.15,83.6,2.6,,,,-1.5500000000000114
BE,2009,83.6,81.2,3.0,,,,-2.3999999999999915
BE,2010,81.2,78.39,3.6,,,,-2.8100000000000023
BE,2011,78.39,75.52,4.1,,14.2,,-2.8700000000000045
BE,2012,75.52,72.88,4.48,,14.3,,-2.6400000000000006
BE,2013,72.88,70.43,4.67,4.732873140739745,14.3,105.42339959807855,-2.4499999999999886
BE,2014,70.43,67.96,5.0,5.384864256787161,14.3,108.5803209839508,-2.470000000000013
BE,2015,67.96,65.53,5.17,4.874475534984371,14.3,106.47939709064678,-2.4299999999999926
BE,2016,65.53,63.18,5.8,4.856728630030673,14.3,110.55027901991943,-2.3500000000000014
BE,2017,63.18,60.93,6.28,4.7156235187902045,14.3,110.12632133318286,-2.25
BE,2018,60.93,58.75,6.56,4.691883959648398,14.3,100.85872514895877,-2.1799999999999997
BE,2019,58.75,56.62,6.85,4.379132258776772,14.6,103.73415765069552,-2.1300000000000026
BE,2020,56.62,,7.25,4.152518506598004,14.6,101.63304268952804,
CH,1990,118.92,112.3,,,,,-6.6200000000000045
CH,1991,112.3,113.12,,,,,0.8200000000000074
CH,1992,113.12,114.63,,,,,1.509999999999991
CH,1993,114.63,114.98,,,,,0.3500000000000085
CH,1994,114.98,112.34,,,,,-2.6400000000000006
CH,1995,112.34,108.66,,,,,-3.680000000000007
CH,1996,108.66,100.62,,,,,-8.039999999999992
CH,1997,100.62,96.47,,,,,-4.150000000000006
CH,1998,96.47,96.47,,,,,0.0
CH,1999,96.47,100.0,,,,,3.530000000000001
CH,2000,100.0,92.58,,,,,-7.420000000000002
CH,2001,92.58,88.62,,,,,-3.9599999999999937
CH,2002,88.62,89.96,,,,,1.3399999999999892
CH,2003,89.96,94.03,,,,,4.070000000000007
